word,furigana,translation,category,level
不良,ふりょう,bad; inferior; delinquent,adjective,n1
分解,ぶんかい,disassembly; analysis; decomposition,noun,n1
文化財,ぶんかざい,cultural property; cultural asset,noun,n1
分離,ぶんり,separation; detachment; segregation,noun,n1
分裂,ぶんれつ,split; division; schism,noun,n1
兵士,へいし,soldier,noun,n1
平等,びょうどう,equality; impartiality,noun,n1
平均,へいきん,average; mean,noun,n1
平凡,へいぼん,ordinary; common; mediocre,adjective,n1
平和,へいわ,peace; harmony,noun,n1
編集,へんしゅう,editing; compilation,noun,n1
変更,へんこう,change; modification; alteration,noun,n1
偏見,へんけん,prejudice; bias,noun,n1
返済,へんさい,repayment; reimbursement,noun,n1
返信,へんしん,reply; response,noun,n1
弁護,べんご,defense; pleading; advocacy,noun,n1
弁償,べんしょう,compensation; reimbursement; indemnity,noun,n1
冒険,ぼうけん,adventure; risk; venture,noun,n1
防止,ぼうし,prevention; check; deterrence,noun,n1
忘却,ぼうきゃく,oblivion; forgetting,noun,n1
暴走,ぼうそう,running wild; reckless driving,noun,n1
傍観,ぼうかん,looking on; remaining a spectator,noun,n1
暴露,ばくろ,exposure; disclosure; revelation,noun,n1
没収,ぼっしゅう,confiscation; forfeiture,noun,n1
牧師,ぼくし,pastor; minister; clergyman,noun,n1
募集,ぼしゅう,recruitment; taking applications,noun,n1
保証,ほしょう,guarantee; warranty; security,noun,n1
保存,ほぞん,preservation; conservation; storage,noun,n1
保持,ほじ,retention; maintenance,noun,n1
補足,ほそく,supplement; complement,noun,n1
補助,ほじょ,assistance; aid; subsidy,noun,n1
保険,ほけん,insurance,noun,n1
保護,ほご,protection; safeguard; conservation,noun,n1
報告,ほうこく,report; information,noun,n1
暴風,ぼうふう,storm; gale; windstorm,noun,n1
本能,ほんのう,instinct,noun,n1
本格,ほんかく,full-scale; authentic; standard,adjective,n1
本質,ほんしつ,essence; true nature,noun,n1
本人,ほんにん,the person in question; the person themselves,noun,n1
法廷,ほうてい,courtroom,noun,n1
方向,ほうこう,direction; orientation; course,noun,n1
方法,ほうほう,method; way; process,noun,n1
方針,ほうしん,policy; principle; course,noun,n1
本音,ほんね,real intention; true feelings,noun,n1
本番,ほんばん,performance; real situation; the real thing,noun,n1
枚数,まいすう,number of sheets (or other flat objects),noun,n1
迷信,めいしん,superstition,noun,n1
名誉,めいよ,honor; credit; prestige,noun,n1
明確,めいかく,clear; distinct; precise,adjective,n1
命令,めいれい,order; command; decree,noun,n1
面倒,めんどう,trouble; bother; difficulty,noun,n1
面積,めんせき,area (measurement),noun,n1
面接,めんせつ,(job) interview,noun,n1
免許,めんきょ,license; permit; certificate,noun,n1
免税,めんぜい,tax exemption; duty-free,noun,n1
免れる,まぬがれる,to escape; to be exempted; to avoid,verb,n1
模型,もけい,model; dummy; mockup,noun,n1
目安,めやす,criterion; standard; guide,noun,n1
目撃,もくげき,witnessing; observing,noun,n1
目標,もくひょう,goal; objective; target,noun,n1
目的,もくてき,purpose; aim; goal,noun,n1
木材,もくざい,lumber; timber; wood,noun,n1
物資,ぶっし,goods; materials; supplies,noun,n1
物騒,ぶっそう,dangerous; unsettled; troubled,adjective,n1
物体,ぶったい,object; body; physical object,noun,n1
物理,ぶつり,physics,noun,n1
文脈,ぶんみゃく,context,noun,n1
文明,ぶんめい,civilization; culture,noun,n1
文芸,ぶんげい,literary arts; literature,noun,n1
文房具,ぶんぼうぐ,stationery,noun,n1
分析,ぶんせき,analysis,noun,n1
文章力,ぶんしょうりょく,writing ability,noun,n1
兵器,へいき,weapon; arms,noun,n1
閉鎖,へいさ,closure; shutdown; lockout,noun,n1
平和的,へいわてき,peaceful,adjective,n1
並行,へいこう,parallel; concurrent,adjective,n1
壁画,へきが,mural; wall painting,noun,n1
返却,へんきゃく,return (of something); repayment,noun,n1
偏差値,へんさち,deviation value (T-score),noun,n1
変換,へんかん,conversion; transformation,noun,n1
変動,へんどう,change; fluctuation,noun,n1
便宜,べんぎ,convenience; accommodation; facility,noun,n1
弁当,べんとう,bento; boxed lunch,noun,n1
暴風雨,ぼうふうう,rainstorm; tempest,noun,n1
望遠鏡,ぼうえんきょう,telescope,noun,n1
冒頭,ぼうとう,beginning; start; opening,noun,n1
法律上,ほうりつじょう,legal; legally,adjective,n1
法案,ほうあん,(legislative) bill,noun,n1
法則,ほうそく,law; rule,noun,n1
保養,ほよう,recreation; recuperation; rest,noun,n1
保有,ほゆう,possession; holding; retention,noun,n1
保守,ほしゅ,conservative; maintenance,noun,n1
報酬,ほうしゅう,remuneration; reward; compensation,noun,n1
本国,ほんごく,one's home country,noun,n1
本社,ほんしゃ,head office; headquarters,noun,n1
本場,ほんば,home of; authentic place; habitat,noun,n1
本能的,ほんのうてき,instinctive,adjective,n1
本質的,ほんしつてき,essential; fundamental,adjective,n1
本能行動,ほんのうこうどう,instinctive behavior,noun,n1
満喫,まんきつ,enjoying to the fullest,noun,n1
満場,まんじょう,the whole house; unanimous,noun,n1
満了,まんりょう,expiration; termination,noun,n1
満員,まんいん,full house; no vacancy; sold out,noun,n1
満足,まんぞく,satisfaction; contentment,noun,n1
満点,まんてん,perfect score,noun,n1
密接,みっせつ,close; intimate,adjective,n1
密集,みっしゅう,crowd; dense (population),noun,n1
密度,みつど,density,noun,n1
密封,みっぷう,sealing tight; airtight,noun,n1
密告,みっこく,secret information; betrayal,noun,n1
密談,みつだん,secret talk; private consultation,noun,n1
密輸,みつゆ,smuggling; illegal transport,noun,n1
密林,みつりん,dense forest; jungle,noun,n1
密閉,みっぺい,airtightness; hermetic seal,noun,n1
密着,みっちゃく,close contact; adhesion,noun,n1
民主,みんしゅ,democracy,noun,n1
民衆,みんしゅう,the public; populace; masses,noun,n1
民主主義,みんしゅしゅぎ,democracy,noun,n1
民族,みんぞく,ethnic group; race; nation,noun,n1
民謡,みんよう,folk song; traditional song,noun,n1
民宿,みんしゅく,guesthouse; private lodging,noun,n1
民法,みんぽう,civil law,noun,n1
民間,みんかん,private; civilian; non-governmental,noun,n1
民事,みんじ,civil case; civil affairs,noun,n1
民主化,みんしゅか,democratization,noun,n1
無償,むしょう,free of charge; no compensation,noun,n1
無実,むじつ,innocence,noun,n1
無念,むねん,regret; chagrin; vexation,noun,n1
無限,むげん,infinite; limitless,noun,n1
無関心,むかんしん,indifference; apathy,adjective,n1
無効,むこう,invalid; null; void,noun,n1
無口,むくち,reticent; taciturn,adjective,n1
無害,むがい,harmless,adjective,n1
無事,ぶじ,safety; peace; without incident,noun,n1
無数,むすう,countless; innumerable,noun,n1
名詞,めいし,noun,noun,n1
名簿,めいぼ,name list; register; roster,noun,n1
名所,めいしょ,famous place; place of interest,noun,n1
名産,めいさん,local specialty; famous product,noun,n1
名称,めいしょう,name; title,noun,n1
名作,めいさく,masterpiece,noun,n1
名札,なふだ,name tag; nameplate,noun,n1
名残,なごり,remains; traces; memory,noun,n1
名誉職,めいよしょく,honorary post,noun,n1
名称変更,めいしょうへんこう,name change,noun,n1
明白,めいはく,obvious; clear; plain,adjective,n1
明示,めいじ,explicit statement; specification,noun,n1
明瞭,めいりょう,clear; plain,adjective,n1
明朗,めいろう,bright; cheerful; clear,adjective,n1
明細,めいさい,details; particulars,noun,n1
明暗,めいあん,light and dark; contrast,noun,n1
明記,めいき,clear writing; specification,noun,n1
明快,めいかい,clear; lucid,adjective,n1
明確化,めいかくか,clarification,noun,n1
明度,めいど,brightness (color),noun,n1
迷惑,めいわく,trouble; bother; nuisance,noun,n1
迷路,めいろ,maze; labyrinth,noun,n1
迷子,まいご,lost child,noun,n1
迷走,めいそう,straying; going astray,noun,n1
迷宮,めいきゅう,labyrinth; maze,noun,n1
迷信的,めいしんてき,superstitious,adjective,n1
迷妄,めいもう,delusion; illusion,noun,n1
迷彩,めいさい,camouflage,noun,n1
迷惑料,めいわくりょう,compensation for trouble,noun,n1
綿密,めんみつ,meticulous; detailed; careful,adjective,n1
免職,めんしょく,dismissal; sacking,noun,n1
免罪,めんざい,acquittal; exoneration,noun,n1
免責,めんせき,exemption from responsibility; disclaimer,noun,n1
免状,めんじょう,diploma; certificate,noun,n1
免除,めんじょ,exemption,noun,n1
免疫,めんえき,immunity,noun,n1
免罪符,めんざいふ,indulgence; excuse,noun,n1
免停,めんてい,license suspension,noun,n1
毛布,もうふ,blanket,noun,n1
毛糸,けいと,knitting wool; yarn,noun,n1
毛並み,けなみ,coat (of an animal); quality of hair,noun,n1
毛皮,けがわ,fur; pelt,noun,n1
毛筆,もうひつ,writing brush,noun,n1
毛細血管,もうさいけっかん,capillary,noun,n1
毛虫,けむし,caterpillar (hairy),noun,n1
毛織物,けおりもの,woolen fabric,noun,n1
毛染め,けぞめ,hair dyeing,noun,n1
毛髪,もうはつ,hair (on the head),noun,n1
模型的,もけいてき,model-like; exemplary,adjective,n1
模範,もはん,model; example; exemplar,noun,n1
模擬,もぎ,mock; simulation; imitation,noun,n1
模倣,もほう,imitation; copying,noun,n1
模写,もしゃ,copying; reproduction,noun,n1
模造,もぞう,imitation,noun,n1
模様替え,もようがえ,redecoration; remodeling,noun,n1
模索,もさく,groping; exploring,noun,n1
模造品,もぞうひん,imitation; fake,noun,n1
模写画,もしゃが,reproduction (of a painting),noun,n1
目次,もくじ,table of contents,noun,n1
目撃者,もくげきしゃ,witness; eyewitness,noun,n1
目印,めじるし,mark; sign; landmark,noun,n1
目盛り,めもり,scale; graduation mark,noun,n1
目新しい,めあたらしい,new; novel,adjective,n1
目立つ,めだつ,to stand out; to be conspicuous,verb,n1
目覚ましい,めざましい,remarkable; striking; brilliant,adjective,n1
目障り,めざわり,eyesore; offensive to the sight,noun,n1
目潰し,めつぶし,blinding attack; diversionary tactic,noun,n1
目論む,もくろむ,to plan; to scheme; to envision,verb,n1
物音,ものおと,sound,noun,n1
物陰,ものかげ,place hidden from view; cover,noun,n1
物覚え,ものおぼえ,memory; ability to learn,noun,n1
物好き,ものずき,curiosity; eccentricity,noun,n1
物価,ぶっか,(commodity) prices,noun,n1
物心,ものごころ,awareness of things; judgment,noun,n1
物騒な世の中,ぶっそうなよのなか,troubled times; unsafe world,phrase,n1
物理的,ぶつりてき,physical,adjective,n1
物欲,ぶつよく,material desire; greed,noun,n1
物質,ぶっしつ,substance; matter,noun,n1
分厚い,ぶあつい,thick; bulky; massive,adjective,n1
分岐,ぶんき,divergence; branching; junction,noun,n1
分業,ぶんぎょう,division of labor,noun,n1
分野,ぶんや,field; sphere; realm,noun,n1
分布,ぶんぷ,distribution,noun,n1
分担,ぶんたん,allotment; apportionment; sharing,noun,n1
分散投資,ぶんさんとうし,diversified investment,noun,n1
分離独立,ぶんりどくりつ,secession; independence,noun,n1
分身,ぶんしん,other self; alter ego,noun,n1
分冊,ぶんさつ,separate volume,noun,n1
文献,ぶんけん,literature; documents; bibliography,noun,n1
文語,ぶんご,literary language; written language,noun,n1
文芸誌,ぶんげいし,literary magazine,noun,n1
文化的,ぶんかてき,cultural,adjective,n1
文武両道,ぶんぶりょうどう,skilled in both arts and arms; well-rounded,expression,n1
文体,ぶんたい,literary style,noun,n1
文学的,ぶんがくてき,literary,adjective,n1
文学賞,ぶんがくしょう,literary award,noun,n1
文学作品,ぶんがくさくひん,literary work,noun,n1
文学史,ぶんがくし,history of literature,noun,n1
閉会,へいかい,closing a meeting,noun,n1
閉口,へいこう,to be stumped; to be fed up,verb,n1
閉館,へいかん,closing of a hall or building,noun,n1
閉店,へいてん,closing a store,noun,n1
閉鎖的,へいさてき,insular; exclusive; unsociable,adjective,n1
閉幕,へいまく,closing of a curtain; end of an event,noun,n1
閉所恐怖症,へいしょきょうふしょう,claustrophobia,noun,n1
閉塞,へいそく,blockage; obstruction; occlusion,noun,n1
閉鎖網,へいさもう,closed network,noun,n1
閉廷,へいてい,adjournment of court,noun,n1
平均的,へいきんてき,average; typical,adjective,n1
平凡化,へいぼんか,becoming commonplace,noun,n1
平和主義,へいわしゅぎ,pacifism,noun,n1
平和条約,へいわじょうやく,peace treaty,noun,n1
平和維持,へいわいじ,peacekeeping,noun,n1
平和運動,へいわうんどう,peace movement,noun,n1
平和構築,へいわこうちく,peacebuilding,noun,n1
平和記念,へいわきねん,peace memorial,noun,n1
平和的共存,へいわてききょうぞん,peaceful coexistence,noun,n1
兵隊,へいたい,soldier; troops,noun,n1
兵器産業,へいきさんぎょう,arms industry,noun,n1
兵力,へいりょく,military force; strength of troops,noun,n1
兵法,へいほう,strategy; tactics; art of war,noun,n1
兵糧,ひょうろう,army provisions; rations,noun,n1
兵役,へいえき,military service; conscription,noun,n1
兵舎,へいしゃ,barracks,noun,n1
兵学,へいがく,military science,noun,n1
兵団,へいだん,army corps,noun,n1
兵乱,へいらん,warfare; military conflict,noun,n1
変革,へんかく,reform; innovation; revolution,noun,n1
変貌,へんぼう,transformation; transfiguration,noun,n1
変質,へんしつ,alteration (of quality); deterioration,noun,n1
変色,へんしょく,discoloration; fading,noun,n1
変遷,へんせん,change; transition; vicissitudes,noun,n1
変態,へんたい,metamorphosis; pervert,noun,n1
変則,へんそく,irregularity; anomaly,noun,n1
変調,へんちょう,change in tone; irregularity,noun,n1
変幻,へんげん,ever-changing; protean,noun,n1
変名,へんめい,alias; assumed name,noun,n1
便覧,べんらん,handbook; manual; guide,noun,n1
便箋,びんせん,stationery; letter paper,noun,n1
便所,べんじょ,toilet; lavatory,noun,n1
便乗,べんじょう,taking advantage of an opportunity,noun,n1
便器,べんき,toilet bowl; bedpan,noun,n1
便通,べんつう,bowel movement,noun,n1
便宜主義,べんぎしゅぎ,opportunism; expediency,noun,n1
便座,べんざ,toilet seat,noun,n1
便覧的,べんらんてき,handbook-like,adjective,n1
便乗商法,べんじょうしょうほう,opportunistic sales method; bandwagon marketing,noun,n1
弁舌,べんぜつ,eloquence,noun,n1
弁論,べんろん,debate; argument; pleading,noun,n1
弁理士,べんりし,patent attorney,noun,n1
弁別,べんべつ,discrimination; distinction,noun,n1
弁財天,べんざいてん,Benzaiten (goddess of music and fortune),noun,n1
弁解,べんかい,excuse; explanation; justification,noun,n1
弁償責任,べんしょうせきにん,liability for damages,noun,n1
弁明,べんめい,explanation; vindication,noun,n1
弁務官,べんむかん,commissioner,noun,n1
弁当箱,べんとうばこ,lunch box; bento box,noun,n1
豊富,ほうふ,abundance; wealth; richness,adjective,n1
方角,ほうがく,direction; point of the compass,noun,n1
方向性,ほうこうせい,directionality; sense of direction,noun,n1
方法論,ほうほうろん,methodology,noun,n1
方言,ほうげん,dialect,noun,n1
方策,ほうさく,plan; policy; measure,noun,n1
方式,ほうしき,form; method; system,noun,n1
方程式,ほうていしき,equation,noun,n1
方角違い,ほうがくちがい,wrong direction,noun,n1
方針転換,ほうしんてんかん,change of policy,noun,n1
妨害,ぼうがい,obstruction; interference; jamming,noun,n1
防火,ぼうか,fire prevention,noun,n1
防犯,ぼうはん,crime prevention,noun,n1
防衛庁,ぼうえいちょう,"Defense Agency (historical, now Ministry of Defense)",noun,n1
防波堤,ぼうはてい,breakwater; seawall,noun,n1
防空,ぼうくう,air defense,noun,n1
防弾,ぼうだん,bulletproof,adjective,n1
防毒,ぼうどく,gas protection,noun,n1
防災,ぼうさい,disaster prevention,noun,n1
防水,ぼうすい,waterproof,adjective,n1
暴動,ぼうどう,riot; rebellion; uprising,noun,n1
暴飲暴食,ぼういんぼうしょく,binge eating and drinking,noun,n1
暴風雪,ぼうふうせつ,blizzard; snowstorm,noun,n1
暴発,ぼうはつ,accidental discharge,noun,n1
暴挙,ぼうきょ,outrage; reckless act,noun,n1
暴利,ぼうり,exorbitant profit,noun,n1
暴漢,ぼうかん,thug; ruffian,noun,n1
暴言,ぼうげん,violent language; abusive words,noun,n1
暴走族,ぼうそうぞく,biker gang,noun,n1
暴露記事,ばくろきじ,exposé; revealing article,noun,n1
牧場,ぼくじょう,ranch; pasture land,noun,n1
牧畜,ぼくちく,stock farming; animal husbandry,noun,n1
牧野,ぼくや,pasture; meadow,noun,n1
牧歌,ぼっか,pastoral; idyll; pastoral song,noun,n1
牧羊,ぼくよう,sheep farming,noun,n1
牧草,ぼくそう,pasture; grass,noun,n1
牧童,ぼくどう,shepherd boy; cowboy,noun,n1
牧畜業,ぼくちくぎょう,livestock industry,noun,n1
牧舎,ぼくしゃ,barn; cattle shed,noun,n1
牧馬,ぼくば,horse breeding,noun,n1
保証人,ほしょうにん,guarantor; sponsor,noun,n1
保証金,ほしょうきん,security deposit; guarantee money,noun,n1
保証書,ほしょうしょ,written guarantee; warranty,noun,n1
保証制度,ほしょうせいど,guarantee system,noun,n1
保存版,ほぞんばん,collector's edition,noun,n1
保存食,ほぞんしょく,preserved food,noun,n1
保存料,ほぞんりょう,preservative,noun,n1
保存方法,ほぞんほうほう,storage method,noun,n1
保存期間,ほぞんきかん,storage period; shelf life,noun,n1
保存容器,ほぞんようき,storage container,noun,n1
補給,ほきゅう,supply; replenishment,noun,n1
補強,ほきょう,reinforcement; strengthening,noun,n1
補償,ほしょう,compensation; indemnity,noun,n1
補充,ほじゅう,replenishment; supplement,noun,n1
補正,ほせい,correction; revision,noun,n1
補整,ほせい,shaping up; adjustment; correction,noun,n1
補導,ほどう,guidance (of minors); protective custody,noun,n1
補完,ほかん,complementation; supplement,noun,n1
補足説明,ほそくせつめい,supplementary explanation,noun,n1
補講,ほこう,supplementary lesson; make-up class,noun,n1
保守的,ほしゅてき,conservative,adjective,n1
保守党,ほしゅとう,Conservative Party,noun,n1
保守運動,ほしゅうんどう,conservative movement,noun,n1
保守派,ほしゅは,conservative faction,noun,n1
保守政党,ほしゅせいとう,conservative political party,noun,n1
保守主義,ほしゅしゅぎ,conservatism,noun,n1
保守思想,ほしゅしそう,conservative thought,noun,n1
保守勢力,ほしゅせいりょく,conservative forces,noun,n1
保育,ほいく,childcare; nursing,noun,n1
保育士,ほいくし,childcare worker; nursery teacher,noun,n1
保育園,ほいくえん,nursery school; daycare center,noun,n1
保育所,ほいくしょ,nursery school; daycare center,noun,n1
保養地,ほようち,health resort; spa,noun,n1
保養所,ほようじょ,recreation home; sanatorium,noun,n1
保有資産,ほゆうしさん,assets held,noun,n1
保有株,ほゆうかぶ,shares held,noun,n1
保有権,ほゆうけん,right of possession,noun,n1
保有量,ほゆうりょう,amount in possession,noun,n1
報道,ほうどう,(news) reporting; coverage,noun,n1
報道機関,ほうどうきかん,media; press,noun,n1
報道陣,ほうどうじん,the press; press corps,noun,n1
報道関係,ほうどうかんけい,the press; media personnel,noun,n1
報道発表,ほうどうはっぴょう,press release; press announcement,noun,n1
報道番組,ほうどうばんぐみ,news program,noun,n1
報道記事,ほうどうきじ,news article,noun,n1
報道写真,ほうどうしゃしん,press photo; photojournalism,noun,n1
報道記者,ほうどうきしゃ,reporter; journalist,noun,n1
報道被害,ほうどうひがい,damage caused by media coverage,noun,n1
報復,ほうふく,retaliation; revenge,noun,n1
報酬制度,ほうしゅうせいど,remuneration system,noun,n1
報酬金,ほうしゅうきん,reward; monetary reward,noun,n1
報酬額,ほうしゅうがく,amount of remuneration,noun,n1
報酬契約,ほうしゅうけいやく,compensation contract,noun,n1
報酬条件,ほうしゅうじょうけん,terms of remuneration,noun,n1
報酬支払,ほうしゅうしはらい,payment of remuneration,noun,n1
報酬方式,ほうしゅうほうしき,remuneration method,noun,n1
報酬体系,ほうしゅうたいけい,compensation structure,noun,n1
本格的,ほんかくてき,full-scale; authentic; genuine,adjective,n1
本格派,ほんかくは,orthodox school; traditionalist,noun,n1
本格化,ほんかくか,getting into full swing,noun,n1
本質的要素,ほんしつてきようそ,essential element,noun,n1
本質論,ほんしつろん,essentialism,noun,n1
本質的価値,ほんしつてきかち,intrinsic value,noun,n1
本質主義,ほんしつしゅぎ,essentialism,noun,n1
本質的問題,ほんしつてきもんだい,fundamental problem,noun,n1
満員電車,まんいんでんしゃ,packed train; crowded train,noun,n1
満員御礼,まんいんおんれい,sign indicating a full house,expression,n1
満員状態,まんいんじょうたい,state of being full to capacity,noun,n1
満員超過,まんいんちょうか,over capacity,noun,n1
密約,みつやく,secret pact; secret agreement,noun,n1
密輸入,みつゆにゅう,smuggling in; illegal import,noun,n1
密輸出,みつゆしゅつ,smuggling out; illegal export,noun,n1
密売,みつばい,secret sale; illicit trade,noun,n1
密告者,みっこくしゃ,informer; snitch,noun,n1
密閉容器,みっぺいようき,airtight container; sealed container,noun,n1
密着感,みっちゃくかん,feeling of closeness,noun,n1
密集地,みっしゅうち,densely populated area,noun,n1
密接関係,みっせつかんけい,close relationship,noun,n1
民主党,みんしゅとう,Democratic Party,noun,n1
民主化運動,みんしゅかうんどう,democratization movement,noun,n1
民主政治,みんしゅせいじ,democratic government,noun,n1
民主憲法,みんしゅけんぽう,democratic constitution,noun,n1
民主制,みんしゅせい,democracy,noun,n1
民間企業,みんかんきぎょう,private company,noun,n1
民間人,みんかんじん,civilian,noun,n1
民間伝承,みんかんでんしょう,folklore,noun,n1
民間療法,みんかんりょうほう,folk remedy; traditional remedy,noun,n1
民間信仰,みんかんしんこう,folk belief; folk religion,noun,n1
無駄,むだ,waste; futility; uselessness,noun,n1
無駄遣い,むだづかい,wasteful spending; squandering,noun,n1
無駄話,むだばなし,idle talk; gossip; chatter,noun,n1
無駄死に,むだじに,pointless death; dying in vain,noun,n1
無駄骨,むだぼね,wasted effort; fruitless effort,noun,n1
無駄口,むだぐち,idle chatter; gossip,noun,n1
無駄遣い防止,むだづかいぼうし,prevention of wasteful spending,noun,n1
無駄足,むだあし,wasted trip; fruitless errand,noun,n1
無駄手間,むだてま,wasted effort; needless trouble,noun,n1
無害物質,むがいぶっしつ,harmless substance,noun,n1
無害化,むがいか,rendering harmless; neutralization,noun,n1
無害処理,むがいしょり,non-hazardous disposal,noun,n1
無害廃棄物,むがいはいきぶつ,harmless waste,noun,n1
無数の星,むすうのほし,countless stars,phrase,n1
無知蒙昧,むちもうまい,unenlightened; ignorant and backward,noun,n1
無知識,むちしき,lack of knowledge; ignorance,noun,n1
無知蒙昧主義,むちもうまいしゅぎ,obscurantism,noun,n1
無知無学,むちむがく,ignorant and uneducated,noun,n1
無知蒙昧的,むちもうまいてき,obscurantist,adjective,n1
無断,むだん,without permission; without notice,noun,n1
無断欠勤,むだんけっきん,absence without notice; AWOL,noun,n1
無断外出,むだんがいしゅつ,leaving without permission,noun,n1
無断使用,むだんしよう,unauthorized use,noun,n1
無断転載,むだんてんさい,unauthorized reproduction,noun,n1
無断欠席,むだんけっせき,unexcused absence,noun,n1
無断侵入,むだんしんにゅう,trespassing,noun,n1
無断駐車,むだんちゅうしゃ,illegal parking,noun,n1
無断欠課,むだんけっか,cutting class; skipping class,noun,n1
無断持ち出し,むだんもちだし,taking something out without permission,noun,n1
無難,ぶなん,safe (choice); acceptable; unobjectionable,adjective,n1
無能力,むのうりょく,incompetence; incapacity,noun,n1
無能,むのう,incompetence; inefficiency,adjective,n1
無能者,むのうしゃ,incompetent person,noun,n1
無能力者,むのうりょくしゃ,incapacitated person,noun,n1
無能化,むのうか,incapacitation,noun,n1
無能無策,むのうむさく,incompetent and without a plan,noun,n1
無念無想,むねんむそう,state of mind free from distracting thoughts,noun,n1
無念さ,むねんさ,sense of regret,noun,n1
無念極まりない,むねんきわまりない,extremely regrettable,expression,n1
無念至極,むねんしごく,deeply regrettable,adjective,n1
無念顔,むねんがお,look of regret; regretful expression,noun,n1
無償提供,むしょうていきょう,providing free of charge,noun,n1
無償援助,むしょうえんじょ,grant aid; free assistance,noun,n1
無償化,むしょうか,making something free of charge,noun,n1
無償配布,むしょうはいふ,free distribution,noun,n1
無償資金,むしょうしきん,grant; grant aid,noun,n1
無償修理,むしょうしゅうり,free repair,noun,n1
矛盾,むじゅん,contradiction; inconsistency,noun,n1
矛盾点,むじゅんてん,contradictory point,noun,n1
