word,furigana,translation,description,example,example_translation,category,level
〜なさい,,do (command form),A command form used by superiors to inferiors (e.g., parents to children). Softer than the imperative form. (Verb stem + なさい).,早く寝なさい。,Go to bed early.,suffix,n4
〜んです,,it is that (for explanation),Used to provide an explanation, add emphasis, or ask for clarification. The plain form is のだ.,どうして遅れたんですか。,Why is it that you were late?,phrase,n4
〜出す,〜だす,to begin suddenly,Indicates the sudden start of an action. (Verb stem + 出す).,赤ちゃんが急に泣き出しました。,The baby suddenly started to cry.,verb,n4
〜前に,〜まえに,before doing,Indicates that one action takes place before another. (Verb dictionary form / Noun の + 前に).,寝る前に、本を読みます。,I read a book before sleeping.,phrase,n4
〜後で,〜あとで,after doing,Indicates that one action takes place after another. (Verb ta-form / Noun の + 後で).,ご飯を食べた後で、散歩します。,I will take a walk after eating.,phrase,n4
〜続ける,〜つづける,to continue doing,Indicates the continuation of an action. (Verb stem + 続ける).,彼は走り続けました。,He continued to run.,verb,n4
いたします,,to do (humble),The humble form of します, used when talking about your own actions to someone of higher status.,私がご案内いたします。,I will guide you.,verb,n4
いらっしゃる,,to be; to come; to go (respectful),Respectful form (sonkeigo) of いる, 来る, and 行く.,先生はいらっしゃいますか。,Is the teacher here?,verb,n4
かい,,(casual question particle),"A casual, typically male, sentence-ending particle for yes/no questions.",行くかい。,Are you going?,particle,n4
から作る,からつくる,made from,"Indicates the raw material something is made from, where the original material is not obvious.",木から紙を作ります。,Paper is made from wood.,expression,n4
がる、 がっている,,to show signs of; to feel (third person),Used to describe the apparent feelings or desires of a third person.,彼は犬を怖がっています。,He is scared of dogs.,suffix,n4
が必要,がひつよう,is necessary,Indicates that something is necessary.,お金が必要です。,Money is necessary.,expression,n4
きっと,,surely; undoubtedly,An adverb used to express a high degree of certainty.,彼はきっと来ます。,He will surely come.,adverb,n4
ございます,,to be; to exist (polite),The polite form of あります.,ここにございます。,It is here.,verb,n4
こと,,(verb nominalizer),A suffix that turns a verb or verb phrase into a noun.,食べることが好きです。,I like eating.,suffix,n4
じゃないか,,right?; isn't it?,A casual, masculine way to seek confirmation or express a strong opinion.,いいじゃないか。,Isn't it good?,expression,n4
だけで,,just by doing,Indicates that an outcome is achieved simply by performing a certain action.,英語を勉強するだけで、上達します。,You can improve just by studying English.,expression,n4
で (場所),で（ばしょ）,at; in (location of action),Marks the location where an action takes place.,図書館で勉強します。,I study at the library.,particle,n4
で (手段),で（しゅだん）,with; by (means of),Marks the means, tool, or method used to perform an action.,箸で食べます。,I eat with chopsticks.,particle,n4
でございます,,to be (very polite),A very polite and formal form of です.,こちらでございます。,This is it.,expression,n4
ではないか,,right?; isn't it? (formal),A formal way to seek confirmation or agreement.,きれいではないか。,Isn't it pretty?,expression,n4
でも,,... or something,Used to make a casual suggestion.,コーヒーでも飲みましょうか。,Shall we have coffee or something?,particle,n4
に (時間),に（じかん）,at; on (time marker),Marks a specific point in time (e.g., 7時, 月曜日).,7時に起きます。,I wake up at 7 o'clock.,particle,n4
に (目的地),に（もくてきち）,to (destination),Marks the destination or goal of movement verbs.,日本に行きます。,I will go to Japan.,particle,n4
はずです,,it is expected that; should be,Expresses a strong conviction or logical assumption that something is true or will happen.,彼は今日、来るはずです。,He is supposed to come today.,phrase,n4
はずがない,,cannot be; impossible that,Used to express strong disbelief or that something is impossible.,そんなはずがありません。,That can't possibly be true.,expression,n4
まだ〜ていない,,have not yet,Expresses that an expected action has not happened yet.,まだ昼ご飯を食べていません。,I haven't eaten lunch yet.,phrase,n4
もし〜たら,,if (hypothetical),Used to add emphasis to a hypothetical conditional situation.,もしお金があったら、旅行します。,"If I had money, I would travel.",phrase,n4
場合は,ばあいは,in the case of; in the event that,Used to indicate a specific case or situation.,病気の場合は、連絡してください。,"In case of sickness, please contact me.",expression,n4
必要がある,ひつようがある,it is necessary to,Used to express necessity. More formal than なければいけない.,勉強する必要があります。,It is necessary to study.,expression,n4
急に,きゅうに,suddenly,An adverb indicating a sudden action or change.,急に雨が降りました。,It suddenly started to rain.,adverb,n4
間,あいだ,while; during (ongoing state),Indicates a period during which a state or action continues.,彼が寝ている間、私はテレビを見ていました。,I was watching TV while he was sleeping.,noun,n4
頃,ころ,around; about (time),Used to indicate an approximate point in time.,3時頃に行きます。,I will go around 3 o'clock.,suffix,n4
